TUB-025-060053	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-060999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080008	Sch 20	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080038	Sch 60	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080041	Sch 30	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080044	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080061	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080062	Sch 140	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080063	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-080999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100009	Sch 20	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100044	Sch 60	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100048	Sch 30	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100055	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100067	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100076	Sch 140	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100077	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-100999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120012		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120025	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120047	Sch 20	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120051	Sch 30	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120059		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120070	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120078	Sch 60	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120096	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-120999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140010	Sch 30	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140013	Sch 20	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140031	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140047	Sch 10	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140070		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140084	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140089	Sch 60	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140104	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-140999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-160009	Sch 30	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-160047	Sch 10	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-160085	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-160090	Sch 60	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-160100	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-160999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-180006		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-180047	Sch 10	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-180083	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-180088	Sch 60	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-180102	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-180999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-200047	Sch 10	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-200088	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-200115	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
